SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
99,01/02/2025,appa,-,2082,102,29/02/2024,panipuri ,-,30,,,,,,,,
100,17/02/2024,appa,-,500,103,01/03/2024,imman,-,6,,,,,,,,
101,20/02/2025,appa + amma,-,610,104,03-2024,room to busstand,-,20,,,,,,,,
102,23/02/2025,appa,-,1000,105,01/03/2024,busstop to walajah,-,40,,,,,,,,
103,24/02/2025,appa,-,7000,106,01/03/2024,waterbottle,-,20,,,,,,,,
104,02/03/2025,appa,-,2100,107,01/03/2024,walajah to muthukadai ,-,10,,,,,,,,
105,08/03/2025,anna,-,300,108,01/03/2024,muthukadai to arcot,-,10,,,,,,,,
106,10/03/2025,appa+amma+patti,-,2700,109,01/03/2024,arcot to home,-,15,,,,,,,,
107,20/03/2025,Anna + Appa,-,1300,110,01/03/2024,bakery,-,50,,,,,,,,
108,26/03/2055,mano,-,200,111,03/03/2024,Recharge ,-,15,,,,,,,,
109,28/03/2025,kavi,-,200,112,03/03/2024,Vicks thailam,-,20,,,,,,,,
110,29/03/2025,sharika ,-,100,113,04/03/2024,milk+chips,-,32,,,,,,,,
111,29/03/2025,appa,-,10000,114,04/03/2024,chicken ,-,120,,,,,,,,
112,31/03/2025,appa,-,750,115,06/03/2024,earrings ,-,20,,,,,,,,
113,07/04/2025,anna,-,1000,116,06/03/2024,petrol,-,110,,,,,,,,
114,10/04/2025,amma account ,-,412,117,06/03/2024,Recharge ,-,30,,,,,,,,
115,13/04/2025,amma,-,1500,118,06/03/2024,Weekly ,-,160,,,,,,,,
116,15/04/2025,appa+amma,-,1340,119,06/03/2024,Juice,-,100,,,,,,,,
117,19/04/2025,patti,-,500,120,07/03/2024,recharge ,-,19,,,,,,,,
118,20/04/2025,amma ,-,200,121,07/03/2024,chips+egg,-,63,,,,,,,,
119,01/05/2025,appa,-,5000,122,08/03/2024,Topup,-,80,,,,,,,,
120,12/05/2025,appa + amma,-,650,123,08/03/2024,Petrol,-,100,,,,,,,,
121,15/05/2025,scholarship amount taken,-,1000,124,10/03/2024,Train ticket ,-,24,,,,,,,,
122,22/05/2025,amma + appa,-,1150,125,10/03/2024,mrng snack,-,30,,,,,,,,
123,26/05/2025,appa,-,1000,126,10/03/2024,Central to Mylapore ,-,30,,,,,,,,
124,02/06/2025,From Scholarship ,-,500,127,10/03/2023,Mylapore to central,-,30,,,,,,,,
125,02/06/2025,appa for new house advance ,-,6000,128,10/03/2024,chips + juice,-,60,,,,,,,,
126,09/06/2025,Anna + unkown reason,-,700,128,10/03/2024,icecream ,-,40,,,,,,,,
127,20/06/2025,advance return (advance )(2000),-,3250,129,11/03/2024,Topup,-,160,,,,,,,,
128,22/06/2025,appa,-,500,130,12/03/2024,imman,-,12,,,,,,,,
129,27/06/2025,appa for paal kachadhuku,-,600,131,12/03/2024,Recharge ,-,19,,,,,,,,
130,18/06/2025,patti,-,500,132,12/03/2024,lalapettai to muthukadai ,-,12,,,,,,,,
131,02/07/2025,patti,-,200,133,12/03/2024,muthukadai to room,-,36,,,,,,,,
132,09/07/2025,amma,-,500,134,13/03/2024,clg spare,-,30,,,,,,,,
133,23/07/2025,patti,-,1000,135,13/03/2024,Grocery ,-,235,,,,,,,,
134,30/07/2025,patti,-,200,136,13/03/2024,Vegetables,-,35,,,,,,,,
135,31/07/2025,appa,-,16000,137,13/03/2024,super market,-,74,,,,,,,,
136,31/07/2025,kavitha ,-,100,138,13/03/2024,Pencil+ledbox+black&blue pen+erase ,-,43,,,,,,,,
137,03/08/2025,Amma,-,100,139,13/03/2024,Busstop spare,-,38,,,,,,,,
138,04/08/2025,Appa for rent ,-,6000,140,13/03/2024,chips+water+comb+Xerox ,-,99,,,,,,,,
139,10/08/2025,Appa,-,800,141,14/03/2024,clg spare,-,30,,,,,,,,
140,18/08/2025,Appa,-,1000,142,15/03/2024,bus spare,-,10,,,,,,,,
141,31/08/2025,Appa,-,1000,143,15/03/2024,Itch guard,-,110,,,,,,,,
142,05/09/2025,amma,-,400,144,15/03/2024,snacks+chicken+curd,-,105,,,,,,,,
