SERIAL  NO,DATE ,DESCRIPTION ,,AMOUNT ,SERIAL NO,DATE,SPENDED ,,AMOUNT ,@,,,,,,,
,,,,,698,17/6/2025,"juice,cake + spare + bakery+juice",-,174,,,,,,,,
,,,,,699,17/6/2025,room to kpm to arcot to home,-,97,,,,,,,,
,,,,,700,20/6/2025,panni poori + beef,-,100,,,,,,,,
,,,,,701,21/6/2025,panni poori +beef+bakery +Recharge+Juice,-,332,,,,,,,,
,,,,,702,22/6/2025,home to Arcot to bypass to kpm+juice+snack,-,190,,,,,,,,
,,,,,703,23/6/2025,spare + FF ,-,84,,,,,,,,
,,,,,704,24/6/2025,food + water + snacks+earphone+juice,-,238,,,,,,,,
,,,,,705,24/6/2025,room to kpm to arcot to home+kishore ,-,98,,,,,,,,
,,,,,706,25/6/2025,recharge ,-,11,,,,,,,,
,,,,,707,26/6/2025,juice+kavitha ,-,51,,,,,,,,
,,,,,708,27/6/2025,petrol+things+flower+food+juice +grocery ,-,705,,,,,,,,
,,,,,709,28/6/2025,juice,-,50,,,,,,,,
,,,,,710,29/6/2025,panni poori + recharge ,-,104,,,,,,,,
,,,,,711,30/6/2025,bakery + recharge ,-,104,,,,,,,,
,,,,,712,2/7/2025,recharge +food,-,99,,,,,,,,
,,,,,713,2/7/2025,beef + panni poori ,-,100,,,,,,,,
,,,,,714,3/7/2025,Recharge ,-,29,,,,,,,,
,,,,,715,4/7/2025,kishore ,-,20,,,,,,,,
,,,,,716,5/7/2025,bakery + chicken ,-,150,,,,,,,,
,,,,,717,6/7/2025,Recharge ,-,33,,,,,,,,
,,,,,718,8/7/2025,Recharge + baji,-,68,,,,,,,,
,,,,,719,9/7/2025,central-thiruvi-Koyambedu-arcot-home,-,213,,,,,,,,
,,,,,720,9/7/2025,water +restroom+ brownie + water,-,200,,,,,,,,
,,,,,721,12/7/2025,Recharge + parking +petrol+briyani ,-,49,,,,,,,,
,,,,,722,15/7/2025,Recharge ,-,29,,,,,,,,
,,,,,723,17/7/2025,Top-up + Bajji+ petrol(18/7),-,185,,,,,,,,
,,,,,724,19/7/2025,beef ,-,120,,,,,,,,
,,,,,725,22/7/2058,Recharge + topup,-,90,,,,,,,,
,,,,,726,23/7/2025,Recharge ,-,19,,,,,,,,
,,,,,727,24/7/2025,kavitha ,-,30,,,,,,,,
,,,,,728,25/7/2025,Recharge ,-,29,,,,,,,,
,,,,,729,26/7/2058,kavitha + buji,-,40,,,,,,,,
,,,,,730,28/7/2025,beef + panni poori,-,100,,,,,,,,
,,,,,731,29/7/2025,chicken ,-,50,,,,,,,,
,,,,,732,30/7/2025,chain + earpiece + panni poori,-,175,,,,,,,,
,,,,,733,31/7/2025,thirumyllai to Velachery  + rapido(mall) ,-,85,,,,,,,,
,,,,,734,,Domino's + donation + Snacks,,278,,,,,,,,
,,,,,735,,Chn to Arakkonam+ Recharge + Chiken,,219,,,,,,,,
,,,,,736,1/8/2025,7th Sem Fees,-,15000,,,,,,,,
,,,,,737,1/8/2025,cylinder extra amount ,-,-50,,,,,,,,
,,,,,738,2/8/2025,beef + chicken ,-,100,,,,,,,,
,,,,,739,3/8/2025,arcot to kpm + tea(+biscuit ) + water + sugar ,-,110,,,,,,,,
,,,,,740,4/8/2025,Spare + Tea + snacks + water +milk+dinner,-,155,,,,,,,,
,,,,,741,5/8/2025,Tea+Xerox+juice+supermarket+can+dinner,-,404,,,,,,,,
,,,,,742,6/8/2025,Bakery+spare + notes + food + Recharge ,-,1158,,,,,,,,
,,,,,743,7/8/2025,Rent amount + haircut + juice+room to home,-,3642,,,,,,,,
,,,,,744,8/8/2025,epes + juice + tamilvanan(apple juice ),-,300,,,,,,,,
,,,,,745,9/8/2025,Coursera ,-,498,,,,,,,,
,,,,,746,10/8/2025,arcot to kpm + electric things + salt ,-,191,,,,,,,,
,,,,,747,11/8/2025,Canteen+bakery+supermarket +outing +can,-,501,,,,,,,,
,,,,,748,12/8/2025,jio saavan pro,-,9,,,,,,,,
,,,,,749,13/8/2025,canteen + bakery + chicken ,-,87,,,,,,,,
,,,,,750,14/8/2025,spare + canteen + rice,-,116,,,,,,,,
,,,,,751,15/8/2025,vegetable + room to home + poo,-,153,,,,,,,,
,,,,,752,17/8/2025,pes,-,50,,,,,,,,
,,,,,753,18/8/2025,home to clg + Tea + vegetables + plug,-,129,,,,,,,,
,,,,,754,19/8/2025,Bakery + codealpha + petrol + movie,-,399,,,,,,,,
,,,,,755,21/8/2025,chicken + egg,-,79,,,,,,,,
,,,,,756,22/8/2025,canteen + order + juice + can+ laptop sleeve ,-,317,,,,,,,,
,,,,,757,23/8/2025,canteen + bakery + juice +egg+milk,-,118,,,,,,,,
,,,,,758,24/8/2025,biscuit + chicken + masala + Rice + vegetable ,-,115,,,,,,,,
,,,,,759,25/8/2025,Canteen + Bakery + Dairy Milk + tea +kalan,-,257,,,,,,,,
,,,,,760,26/8/2025,Maggie + egg + vegetable +food+can+topup,-,225,,,,,,,,
,,,,,761,30/8/2025,"Kpm to Vellore,cmc, vellore to kpm,snacks, earphone ",-,480,,,,,,,,
,,,,,762,31/8/2025,can + rosemilk + petrol,-,160,,,,,,,,
,,,,,763,1/9/2025,canteen + bakery + dinner,-,104,,,,,,,,
,,,,,764,2/9/2025,tea time + vegetables + milk + Bannana ,-,115,,,,,,,,
,,,,,765,3/9/2025,"tea,juice +dinner ",-,160,,,,,,,,
,,,,,766,4/9/2025,petrol + kpm to Vellore +Dhanaya+vellore to home,-,250,,,,,,,,
,,,,,767,5/9/2025,beef+ sms charge,-,138,,,,,,,,
,,,,,768,6/9/2025,Recharge  + certificate ,-,1011,,,,,,,,
,,,,,769,8/9/2025,Home to Muthukadai to walaja to clg ,-,56,,,,,,,,
,,,,,770,9/9/2025,Mrng Food +bakery +juice ,-,137,,,,,,,,
,,,,,771,10/9/2025,bakery + petrol,-,78,,,,,,,,
,,,,,772,11/9/2025,Rent,-,2650,,,,,,,,
,,,,,773,11/9/2025,Food + xerox ,-,70,,,,,,,,
,,,,,774,12/9/2025,Bannana + dosa maavu +milk ,-,74,,,,,,,,
,,,,,775,13/9/2025,sugar +tea +petrol + kpm to arcot to home + beef,-,263,,,,,,,,
,,,,,776,15/9/2025,Petrol + parking,-,320,,,,,,,,
,,,,,777,16/9/2025,home to arcot to kpm + bakery,-,137,,,,,,,,
,,,,,778,17/9/2025,petrol + milk + snacks,-,20,,,,,,,,
,,,,,779,18/9/2025,canteen+juice + can + food,-,122,,,,,,,,
,,,,,780,19/9/2025,Mrng food + canteen + food + snacks,-,139,,,,,,,,
,,,,,781,20/9/2025,Juice + Petrol  + food + snacks,-,290,,,,,,,,
,,,,,782,21/9/2025,Food Order +Snacks ,-,110,,,,,,,,
,,,,,783,22/9/2025,Sugar+tea powder +chicken +curd+vegetable ,-,180,,,,,,,,
,,,,,784,23/9/2025,Nyt Food ,-,60,,,,,,,,
,,,,,785,24/9/2025,Tea +Banana +Bakery +panni poori + Food,-,169,,,,,,,,
,,,,,786,25/9/2025,Food,-,45,,,,,,,,
,,,,,787,26/9/2025,Can ,-,20,,,,,,,,
,,,,,788,27/9/2025,Kolambu + petrol + food,-,160,,,,,,,,
,,,,,789,28/9/2025,tomato + food ,-,95,,,,,,,,
,,,,,790,29/9/2025,petrol + Bakery + food,-,155,,,,,,,,
,,,,,791,30/9/2025,food  + petrol,-,182,,,,,,,,
,,,,,792,1/10/2025,room to kpm to arcot to home + juice + ,-,83,,,,,,,,
,,,,,793,2/10/2025,Detergent ,-,20,,,,,,,,
,,,,,794,3/10/2025,Semmen + amma + bakery ,-,190,,,,,,,,
,,,,,795,5/10/2025,Fevicol + fruits ,-,60,,,,,,,,
,,,,,796,6/10/2025,briyani + home to arcot to kpm + juice +snacks ,-,140,,,,,,,,
,,,,,797,7/10/2025,food + petrol +ff+ bakery +food,-,261,,,,,,,,
,,,,,798,8/10/2025,food+canteen +bakery +food+can,-,159,,,,,,,,
,,,,,799,9/10/2025,petrol+bakery,-,195,,,,,,,,
,,,,,800,10/10/2025,Rent  + bakery ,-,2380,,,,,,,,
,,,,,801,11/10/2025,truf + jio saavan + food+donation ,-,343,,,,,,,,
,,,,,802,12/10/2025,Mukilan + Milk + Bannana + Egg + Tea,-,110,,,,,,,,
,,,,,803,13/10/2025,Food + spare+ tea + bun+ food + milk +bannana,-,173,,,,,,,,
,,,,,804,14/10/2025,Food + spare,-,67,,,,,,,,
,,,,,805,15/10/2025,Milk + Bannana +food ,-,50,,,,,,,,
,,,,,806,16/10/2025,petrol + canteen,-,180,,,,,,,,
,,,,,807,17/10/2025,Rosemilk + Recharge ,-,139,,,,,,,,
,,,,,808,18/10/2025,Milk + Bannana + petrol +watch repair + home spare,-,230,,,,,,,,
,,,,,809,19/10/2025, food+inner,-,264,,,,,,,,
,,,,,810,20/10/2025,Recharge ,-,29,,,,,,,,
,,,,,811,21/10/2025,Recharge ,-,11,,,,,,,,
,,,,,812,22/10/2025,Spotify+Muthukadai to arcot to kpm + food+Recharge ,-,171,,,,,,,,
,,,,,813,23/10/2025,Recharge + Bakery ,-,29,,,,,,,,
,,,,,814,24/10/2025,Bakery ,-,10,,,,,,,,
,,,,,815,25/10/2025,Recharge ,-,19,,,,,,,,
,,,,,816,26/10/2025,Food + Recharge ,-,179,,,,,,,,
,,,,,817,27/10/2025,Petrol + Food,-,180,,,,,,,,
,,,,,818,28/10/2025,Bakery +Tea + snacks ,-,129,,,,,,,,
,,,,,819,29/10/2025,Canteen + Food + Medicine + petrol + haircut +Food,-,448,,,,,,,,
,,,,,820,30/10/2025,can,-,35,,,,,,,,
,,,,,821,31/10/2025,Bannana + milk+snacks+recharge ,-,92,,,,,,,,
,,,,,822,1/11/2025,Food+appalam,-,70,,,,,,,,
,,,,,823,2/11/2025,juice+snack+Juice +kpm to arcot ,-,210,,,,,,,,
,,,,,824,2/11/2025,IV amount ,-,2000,,,,,,,,
,,,,,825,3/11/2025,detergent + home to arcot to kpm +snacks,-,130,,,,,,,,
,,,,,826,4/11/2025,Medicine for leg +water,-,220,,,,,,,,
,,,,,827,5/11/2025,Tea(2) + from scholarship spending,-,244,,,,,,,,
,,,,,828,6/11/2025,IV Extra Amount + Chocolate ,-,400,,,,,,,,
,,,,,829,7/11/2025,Juice + ice cream+soda+juice+chips+waterbottle ,-,250,,,,,,,,
,,,,,830,7/11/2025,Earning + (Keyholder+Keychain )+ bracelet ,-,160,,,,,,,,
,,,,,831,8/11/2025,Railway Snacks + chips+juice ,-,190,,,,,,,,
,,,,,832,8/11/2025,Puffs + Parota +juice+food,-,150,,,,,,,,
,,,,,833,9/11/2025,pes + petrol +food + rent+food,-,2685,,,,,,,,
,,,,,834,10/11/2025,Canteen + kalan with kavi + mukilan ,-,205,,,,,,,,
,,,,,835,11/11/2025,Tea time + snacks+juice+chicken +soup,-,248,,,,,,,,
,,,,,836,13/11/2025,Mrng food + Frds Briyani Seirom+canteen +reward ,-,142,,,,,,,,
,,,,,837,14/11/2025,Mrng Food+Xerox+canteen +juice,-,107,,,,,,,,
,,,,,838,14/11/2025,kpm to arcot to home,-,70,,,,,,,,
,,,,,839,15/11/2025,Recharge ,-,71,,,,,,,,
,,,,,840,18/11/2025,Exam Fees,-,1050,,,,,,,,
,,,,,841,18/11/2025,home to arcot to kpm + Chiken + snacks & milk,-,168,,,,,,,,
,,,,,842,19/11/2025,auto + outing(lays chicken +somosa+juice)+ff,-,239,,,,,,,,
,,,,,843,20/11/2025,Electricity + Mrng Food+kpm to arcot to home+beef,-,245,,,,,,,,
,,,,,844,21/11/2025,Recharge ,-,22,,,,,,,,
,,,,,845,22/11/2025,Recharge + Tamizhavan,-,44,,,,,,,,
,,,,,846,23/11/2025,Petrol + Recharge + home to arcot to kpm,-,178,,,,,,,,
,,,,,847,,,,,,,,,,,,
,,,,,,,,,181979,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,", ",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1244,,,,,,,
,,,,,,,,,,610,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Overall Balance:,,,,,1507,,,,,,,,,,,,
Balance In Account ,,,,,263,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance In Hand,,,,,1194,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Total,1457,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Extra,-50,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,17/02/2024,appa kudatha amount for phone,-,7000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,21/02/2024,Deposit to My account ,-,5500,,,,,,,,,,,,,
3,22/02/2024,Deposit to My account ,-,1500,,,,,,,,,,,,,
4,01/03/2024,1st month Due(March),-,-4330,,,,,,,,,,,,,
5,12/03/2024,Room rent,-,-1250,,,,,,,,,,,,,
8,13/03/2024,NoteBook ,-,-420,,,,,,,,,,,,,
7,12/03/2024,Balance in Account Before buying Notes,-,1420,,,,,,,,,,,,,
8,17/03/2024,Chennai spended,-,-1000,,,,,,,,,,,,,
Total,,,-,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PERSONAL MONEY,,,,,,,,,,,,,,,,,
,,,,,,,,SCHOLARSHIP MONEY,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,25/03/2024,Amount Credited  scholarship ,-,13300,,,,1,25/4/2025,Scholarship Amount ,-,16700,,,,,
,,,,,,,,2,29/4/2025,Ucer Refund Amount (8K Sended to Appa),-,5545,,,,,
2,16/04/2024,Instagram +manavalan,-,700,,,,3,18/4/2025,patti,-,1500,,,,,
,,,,,,,,4,,patti + moli,-,1350,,,,,
,,,,,,,,5,28/8/2025,Ragavan's Bro for Marriage + kavitha + unknown ,-,1200,,,,,
,,,,,,,,6,,Certificate ,-,1000,,,,,
,,,,,,,,7,14/9/2025,patti,-,3000,,,,,
,,,,,,,,8,16&25/9/2025,Catering Amount ,-,1750,,,,,
,,,,,,,,9,13/10/2025,Campaign Work (Tamil Anna) - spare (100),-,2100,,,,,
,,,,,,,,10,20/10/2025,patti,-,500,,,,,
,,,,,,,,11,19/10/2025,Appa for diwali dress,-,1000,,,,,
,,,,,,,,,,Total Amount ,-,35645,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,01/06/2024,appa given for lic,-,3000,,,,1,27/4/2025,phone Temper (matte screen protector),-,300,,,,,
4,04/06/2024,appa given for xm fee,-,2000,,,,2,28/4/2025,Movie + water+juice+rosemilk+snacks,-,320,,,,,
5,16/06/2024,catering amount,-,1600,,,,3,29/4/2025,FTEORGANIC Order,-,33,,,,,
6,25/08/2024,patti given,-,1200,,,,4,3/5/2025,Ice cream ,-,102,,,,,
7,06/09/2024,catering ,-,2440,,,,5,3/5/2025,Dress Order(White),-,237,,,,,
8,06/10/2024,appa+amma,-,8000,,,,6,4/5/2025,Junction Box,-,141,,,,,
9,30/10/2024,appa given for supermarket (supermarket+Re+juice),-,1824,,,,7,8/5/2025,Recharge ,-,900,,,,,
10,01/01/2025,Joshua (),-,2000,,,,8,10/5/2025,Movie + parking ,-,155,,,,,
11,3/1/25(14/12/24),patti,-,1700,,,,9,11/5/2025,shirt order (Refunded),-,0,,,,,
12,13/01/2025,anna for dress(transfered to personal),-,1000,,,,10,12/5/2025,Fish oil(omega3) tablet ,-,512,,,,,
13,14/01/2025,patti for pongal,-,2000,,,,11,15/5/2025,black shirt + Rosemilk + icecream +spare,-,356,,,,,
,,,,,,,,12,15/5/2025,Sent to Normal Spending ,-,1000,,,,,
,,,,,,,,13,16/5/2025,Farewell ,-,650,,,,,
,,,,,,,,14,18/5/2025,spare + record + a4sheet +scale,-,304,,,,,
,,,,,,,,15,25/5/2025,rosemilk,-,100,,,,,
1,03/04/2024,tea+milkshake +Maggie ,-,292,,,,16,31/5/2025,electricity ,-,300,,,,,
2,04/04/2024,Maggie +snacks ,-,105,,,,17,2/6/2025,Sent to Normal Spending ,-,500,,,,,
3,05/04/2024,tea+juice +watermelon +food,-,270,,,,18,3/6/2025,perfume + facewash + watch,-,916,,,,,
4,06/04/2024,juice ,-,109,,,,19,3/6/2025,share market ,-,10000,,,,,
5,06/04/2024,shoe,-,300,,,,20,8/6/2025,shirt,-,400,,,,,
6,08/04/2024,order (pendrive +shoe),-,550,,,,21,11/6/2025,food,-,137,,,,,
7,09/04/2024,order(chain+holder),-,170,,,,22,11/6/2025,shirt,-,332,,,,,
8,10/04/2024,bakery + juice ,-,100,,,,23,23/6/2025,food + ice + water + chennai spare,-,419,,,,,
9,13/04/2024,food ,-,100,,,,24,5/7/2025,Refunded Grow Money ,-,-1625,,,,,
10,13/04/2024,topup + recharge ,-,225,,,,25,/6/2025,Dhanush (Rent advance ),-,0,,,,,
,,,,,,,,26,8/6/2025,amma,-,500,,,,,
,,,,,,,,27,12/7/2025,zudio(slipper+sacks +facemask),-,556,,,,,
,,,,,,,,28,18/7/2025,petrol + chicken + ice+recharge ,-,164,,,,,
,,,,,,,,29,1/8/2025,pant ,-,450,,,,,
,,,,,,,,30,3/8/2025,shirt,-,336,,,,,
,,,,,,,,31,26/8/2025,Rummy Loot + Haircut + bonda,-,367,,,,,
,,,,,,,,32,27/8/2025,kpm to tbm to kbm to Trichy + snacks + coffee  ,-,549,,,,,
,,,,,,,,33,27/8/2025,Briyani + Trichy to chatram to Ragavan home(keepalur),-,216,,,,,
,,,,,,,,34,28/8/2025,locker + park+fruit + panni poori + dinner + return train,-,415,,,,,
,,,,,,,,35,29/8/2025,Chengalpattu to kpm + food + food,-,192,,,,,
,,,,,,,,36,30/8/2025,Mrng food + bakery ,-,561,,,,,
,,,,,,,,37,7/9/2025,IV Advance Amount ,-,1000,,,,,
,,,,,,,,38,8/9/2025,Rummy Loot,-,-200,,,,,
,,,,,,,,37,11/9/2025,food + unknown ,-,45,,,,,
,,,,,,,,38,15/9/2025,Food + movie ,-,300,,,,,
,,,,,,,,39,27/9/2025,Travel Bag + T-Shirt + Pant + Towel,-,1052,,,,,
,,,,,,,,40,30/9/2025,rosemilk + Ice + Juice + Food Truck (Outing),-,193,,,,,
,,,,,,,,41,30/9/2025,Grow Return ,-,-6759,,,,,
,,,,,,,,42,3/10/2025,Boult Z40 Pro Earbuds ,-,1020,,,,,
,,,,,,,,43,18/10/2025,Outing Food + rosemilk ,-,200,,,,,
,,,,,,,,44,19/10/2025,Petrol + Movie + bike air,-,300,,,,,
,,,,,,,,45,19/10/2025,Bike Repair ,-,0,,,,,
,,,,,,,,46,25/10/2025,Black Jeans Shorts,-,250,,,,,
,,,,,,,,47,26/10/2025,Denim Black Jacket,-,707,,,,,
,,,,,,,,48,27/10/2025,Accessories(Chain+Sunglass) + unknown reason debited,-,743,,,,,
,,,,,,,,49,30/10/2025,Accessories (Watch),-,204,,,,,
,,,,,,,,50,30/10/2025,Oversized Pullover T-shirt ,-,560,,,,,
,,,,,,,,51,02/11/2025,Accessories (Cap),-,188,5119,,,,
,,,,,,,,52,2/11/2025,Cargo Pant,-,482,,,,,
,,,,,,,,53,2/11/2025,Jersey + Shoe + White Inner+ Oversized T-Shirt ,-,1200,,,,,
,,,,,,,,54,2/11/2025,Black & white Shirt + Briyani ,-,785,,,,,
,,,,,,,,55,2/11/2025,IV Amount ,-,2000,,,,,
,,,,,,,,56,7/11/2025,Earning + Keychain + bracelet ,-,580,,,,,
,,,,,,,,57,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
11,17/04/2024,beef+(juice +ice cream (in kanchi &arcot)),-,100,,,,,,,,25645,,,,,
12,18/04/2024,beef + bakery ,-,100,,,,,,,,,,,,,
13,19/04/2024,petrol+recharge,-,129,,,,,,,,,,,,,
14,20/04/2024,rice+snacks+chicken,-,160,,,,,,,,,,,,,
15,22/04/2024,keyboard +mouse ,-,680,,,,,,,,,,,,,
16,22/04/2024,stand+mirror+keyholder+feviki+bulb+tape,-,354,,,,,,,,,,,,,
17,22/04/2024,topup ,-,80,,,,Overall Remaining Balance,,,,10000,,,,,
18,25/04/2024,tea+icecream ,-,87,,,,,,,,,,,,,
19,25/04/2024,milk+bannana +snacks,-,61,,,,,,,,,,,,,
20,25/04/2024,juice ,-,90,,,,,,,,,,,,,
21,25/04/2024,revaluation ,-,300,,,,,,,,,,,,,
22,26/04/2024,pradeep +juice,-,70,,,, Remaining Balance In Account ,,,,9500,9248,,,,
23,26/04/2024,desk,-,378,,,,,,,,,1500,,,,
24,27/04/2024,paratto + banana +watermelon +juice,-,153,,,,,,,,,10748,,,,
25,28/04/2024,order,-,30,,,,Remaining Balance In Hand,,,,500,-252,,,,
26,01/05/2024,food,-,100,,,,,,,,,,,,,
27,02/05/2024,supermarket ,-,100,,,,,,,,,,,,,
28,03/05/2024,bannana + pepsi,-,80,,,,,,,,,,,,,
29,03/05/2024,paratto ,-,60,,,,,,,,,,,,,
30,05/05/2024,tea+juice,-,30,,,,S/No.,Date,Description ,Qty,Order Price,Charges,Amount ,,,
31,06/05/2024,food,-,116,,,,,,,,,,,,,
32,08/05/2024,supermarket ,-,120,,,,,,,,,,,,,
33,10/05/2024,juice,-,40,,,,,,,,,,,,,
34,11/05/2024, juice+Petrol,-,80,,,,1,03/06/2025,Money Added to Grow,1,10000,0,-,10000,,
35,11/05/2024,lens,-,1000,,,,2,03/06/2025,Bse Share Buyed ,2,2725,12.64,-,5462.64,,
36,09/05/2024,gift,-,300,,,,3,04/06/2025,Bse Share Buyed ,1,2750,6.34,-,2756.34,8218.98,
37,11/05/2024,electricity +record,-,115,,,,4,11/06/2025,Bse Share selled,3,2836.1,11.375,-,-8496.925,,
38,12/05/2024,recharge ,-,40,,,,5,11/06/2025,Bse Share Buyed ,3,2880.3,11.505,-,8652.405,,
39,16/05/2024,petrol,-,50,,,,6,05/06/2027,Refunded balance to Main (1625.54),,,,-,1625.54,,
40,18/05/2024, movie,-,200,,,,7,30/09/2025,Withdrawal ,1,6759,,-,6759,,
41,20/05/2024,haircut half amount ,-,90,,,,8,,,,,,-,0,,
42,27/05/2024,Novitech internship,-,1000,,,,9,,,,,,-,0,,
43,31/05/2024,exam fees,-,1500,,,,10,,,,,,-,0,,
44,29-1/5-6/2024,overall spend,-,231,,,,11,,,,,,-,0,,
45,03/06/2024,Recharge ,-,289,,,,12,,,,,,-,0,,
46,06/06/2024,shoe+shirt+pant,-,750,,,,13,,,,,,-,0,,
47,10/06/2024,dress,-,1638,,,,14,,,,,,-,0,,
48,21/06/2024,lic,-,2754,,,,15,,,,,,-,0,,
49,10/08/2024,dhanush rent,-,50,,,,16,,,,,,-,0,,
50,16/08/2024,laptop service ,-,3600,,,,17,,,,,,-,0,,
51,17/08/2024,recharge ,-,50,,,,18,,,,,,-,0,,
,,,,,,,,19,,,,,,-,0,,9927.84
,,,,,,,,20,,,,,,-,0,,
52,23/08/2024,laptop keyboard ,-,550,,,,Total  Share Buyed Amount ,,,,,,8374.46,,,
53,27/08/2024,food order,-,178,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
54,01/09/2024,Smytten ,-,553,,,,Balance Amount ,,,,,,0,,,
55,04/09/2024,kanchi to Tambaram,-,150,,,,,,,,,,,,,
56,05/09/2024,t nagar to maduravoial to mandapam,-,150,,,,,,,,,,,,,
57,07/08/2024,tirupati (teddy +anna+amma)+ hundi + cover +laddu,-,130,,,,,,,,,,,8374.46,,
58,15/09/2024,Movie + Snacks + food+inba,-,500,,,,,,,,,,,,,
59,20/09/2024,juice+snacks+ticket+auto(symposium),-,220,,,,,,,,,,,,,
60,23/09/2024,food+ panni poori ,-,115,,,,,,,,,,,,,
61,24/09/2024,iron box,-,409,,,,,,,,,,,,,1615.34
62,26/09/2024,dress,-,1480,,,,,,,,,,,,,
